SID,Team,Events,Event Names,Sub Events,Sub Event Names
229,1609,"[8, 8, 8, 8, 8, 8, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 85, 85, 85, 72, 85, 85, 85, 83, 85, 85, 85, 85, 85, 85, 85, 85, 80]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Cross']"
230,1631,"[8, 7]","['Pass', 'Others on the ball']","[82, 71]","['Head pass', 'Clearance']"
231,1631,"[8, 1, 8]","['Pass', 'Duel', 'Pass']","[82, 13, 85]","['Head pass', 'Ground loose ball duel', 'Simple pass']"
232,1631,"[7, 1]","['Others on the ball', 'Duel']","[72, 13]","['Touch', 'Ground loose ball duel']"
233,1609,"[1, 2]","['Duel', 'Foul']","[13, 20]","['Ground loose ball duel', 'Foul']"
234,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 12]","['Free Kick', 'Ground defending duel']"
235,1609,"[1, 8]","['Duel', 'Pass']","[11, 83]","['Ground attacking duel', 'High pass']"
236,1609,"[1, 8, 10, 6]","['Duel', 'Pass', 'Shot', 'Offside']","[11, 85, 100, 6]","['Ground attacking duel', 'Simple pass', 'Shot', 'Offside']"
237,1631,"[3, 8]","['Free Kick', 'Pass']","[31, 82]","['Free Kick', 'Head pass']"
238,1609,"[8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 85, 86]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Smart pass']"
239,1631,"[8, 8, 8, 8, 7, 1]","['Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Duel']","[85, 85, 85, 85, 72, 13]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Ground loose ball duel']"
240,1609,"[1, 1]","['Duel', 'Duel']","[13, 13]","['Ground loose ball duel', 'Ground loose ball duel']"
241,1631,"[1, 8]","['Duel', 'Pass']","[13, 85]","['Ground loose ball duel', 'Simple pass']"
242,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
243,1609,"[1, 8, 8]","['Duel', 'Pass', 'Pass']","[11, 85, 85]","['Ground attacking duel', 'Simple pass', 'Simple pass']"
244,1609,"[1, 8, 7]","['Duel', 'Pass', 'Others on the ball']","[11, 85, 72]","['Ground attacking duel', 'Simple pass', 'Touch']"
245,1609,"[7, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[72, 85, 85, 85, 85, 85, 85, 85, 85, 85]","['Touch', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
246,1631,"[7, 5]","['Others on the ball', 'Interruption']","[71, 50]","['Clearance', 'Ball out of the field']"
247,1609,"[3, 8, 8, 8, 8, 7, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85, 85, 72, 85, 85, 86]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass', 'Smart pass']"
248,1609,"[1, 8, 8, 8, 10]","['Duel', 'Pass', 'Pass', 'Pass', 'Shot']","[11, 85, 85, 86, 100]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Smart pass', 'Shot']"
249,1631,"[1, 8]","['Duel', 'Pass']","[10, 84]","['Air duel', 'Launch']"
250,1609,"[8, 8, 8, 8, 7, 8, 8, 8, 7, 8, 1]","['Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Duel']","[82, 82, 81, 85, 70, 85, 85, 85, 72, 85, 11]","['Head pass', 'Head pass', 'Hand pass', 'Simple pass', 'Acceleration', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Ground attacking duel']"
251,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
252,1609,"[1, 7]","['Duel', 'Others on the ball']","[10, 72]","['Air duel', 'Touch']"
253,1631,"[5, 3]","['Interruption', 'Free Kick']","[50, 36]","['Ball out of the field', 'Throw in']"
254,1631,"[8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass']","[83, 85, 85, 86]","['High pass', 'Simple pass', 'Simple pass', 'Smart pass']"
255,1609,"[1, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[11, 85, 85, 85, 83, 85, 85, 85, 85, 85, 85]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
256,1609,"[3, 8, 8, 8, 8, 8, 7, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass']","[36, 85, 85, 85, 85, 85, 72, 85]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Simple pass']"
257,1631,"[5, 3]","['Interruption', 'Free Kick']","[50, 34]","['Ball out of the field', 'Goal kick']"
258,1631,"[1, 5, 3, 8, 8, 8, 1]","['Duel', 'Interruption', 'Free Kick', 'Pass', 'Pass', 'Pass', 'Duel']","[10, 50, 36, 85, 85, 83, 12]","['Air duel', 'Ball out of the field', 'Throw in', 'Simple pass', 'Simple pass', 'High pass', 'Ground defending duel']"
259,1609,"[1, 8]","['Duel', 'Pass']","[11, 83]","['Ground attacking duel', 'High pass']"
260,1631,"[8, 1]","['Pass', 'Duel']","[82, 10]","['Head pass', 'Air duel']"
261,1609,"[1, 8]","['Duel', 'Pass']","[10, 82]","['Air duel', 'Head pass']"
262,1609,"[3, 1]","['Free Kick', 'Duel']","[36, 13]","['Throw in', 'Ground loose ball duel']"
263,1631,"[1, 8, 8, 8, 7, 1]","['Duel', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Duel']","[13, 85, 85, 86, 72, 13]","['Ground loose ball duel', 'Simple pass', 'Simple pass', 'Smart pass', 'Touch', 'Ground loose ball duel']"
264,1609,"[3, 8]","['Free Kick', 'Pass']","[31, 83]","['Free Kick', 'High pass']"
265,1609,"[8, 8, 10]","['Pass', 'Pass', 'Shot']","[85, 80, 100]","['Simple pass', 'Cross', 'Shot']"
266,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 34, 10]","['Ball out of the field', 'Goal kick', 'Air duel']"
267,1609,"[3, 8, 8, 8, 7]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Others on the ball']","[36, 85, 85, 82, 72]","['Throw in', 'Simple pass', 'Simple pass', 'Head pass', 'Touch']"
268,1631,"[1, 1]","['Duel', 'Duel']","[12, 12]","['Ground defending duel', 'Ground defending duel']"
269,1609,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
270,1609,"[1, 8, 8, 7, 8, 8]","['Duel', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass']","[11, 85, 85, 70, 85, 80]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Acceleration', 'Simple pass', 'Cross']"
271,1631,"[8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[83, 85, 85, 85, 83]","['High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass']"
272,1631,"[1, 5]","['Duel', 'Interruption']","[11, 50]","['Ground attacking duel', 'Ball out of the field']"
273,1609,"[3, 8, 8, 8, 10]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Shot']","[36, 85, 83, 85, 100]","['Throw in', 'Simple pass', 'High pass', 'Simple pass', 'Shot']"
274,1631,"[7, 8, 1]","['Others on the ball', 'Pass', 'Duel']","[72, 84, 10]","['Touch', 'Launch', 'Air duel']"
275,1609,"[1, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[13, 82, 85, 85, 85, 85]","['Ground loose ball duel', 'Head pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
276,1609,"[8, 8]","['Pass', 'Pass']","[85, 85]","['Simple pass', 'Simple pass']"
277,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
278,1609,"[1, 7]","['Duel', 'Others on the ball']","[10, 71]","['Air duel', 'Clearance']"
279,1631,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
280,1631,"[8, 7, 8]","['Pass', 'Others on the ball', 'Pass']","[85, 72, 83]","['Simple pass', 'Touch', 'High pass']"
281,1609,"[8, 8, 7, 8, 8]","['Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass']","[85, 85, 72, 85, 85]","['Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass']"
282,1609,"[1, 8]","['Duel', 'Pass']","[11, 85]","['Ground attacking duel', 'Simple pass']"
283,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
284,1609,"[3, 8, 8, 8, 8, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85, 85, 85, 85, 85, 85]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
285,1631,"[8, 8, 8]","['Pass', 'Pass', 'Pass']","[85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass']"
286,1631,"[7, 5]","['Others on the ball', 'Interruption']","[71, 50]","['Clearance', 'Ball out of the field']"
287,1609,"[3, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85, 85]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
288,1609,"[1, 8, 8, 8, 8, 10]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Shot']","[11, 85, 85, 85, 85, 100]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Shot']"
289,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
290,1609,"[3, 8, 10]","['Free Kick', 'Pass', 'Shot']","[30, 85, 100]","['Corner', 'Simple pass', 'Shot']"
291,1631,"[7, 7]","['Others on the ball', 'Others on the ball']","[72, 71]","['Touch', 'Clearance']"
292,1609,"[8, 8]","['Pass', 'Pass']","[85, 80]","['Simple pass', 'Cross']"
293,1609,"[1, 10]","['Duel', 'Shot']","[13, 100]","['Ground loose ball duel', 'Shot']"
294,1631,"[5, 3]","['Interruption', 'Free Kick']","[50, 34]","['Ball out of the field', 'Goal kick']"
295,1631,"[1, 5, 3, 8, 1]","['Duel', 'Interruption', 'Free Kick', 'Pass', 'Duel']","[10, 50, 36, 83, 10]","['Air duel', 'Ball out of the field', 'Throw in', 'High pass', 'Air duel']"
296,1609,"[1, 8]","['Duel', 'Pass']","[10, 85]","['Air duel', 'Simple pass']"
297,1609,"[8, 8]","['Pass', 'Pass']","[82, 85]","['Head pass', 'Simple pass']"
298,1609,"[1, 8, 7, 1]","['Duel', 'Pass', 'Others on the ball', 'Duel']","[11, 85, 70, 11]","['Ground attacking duel', 'Simple pass', 'Acceleration', 'Ground attacking duel']"
299,1631,"[1, 1]","['Duel', 'Duel']","[12, 12]","['Ground defending duel', 'Ground defending duel']"
300,1631,"[8, 8, 8]","['Pass', 'Pass', 'Pass']","[85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass']"
301,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 10]","['Free Kick', 'Air duel']"
302,1609,"[3, 8, 8, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85, 85, 85, 83]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass']"
303,1609,"[8, 1]","['Pass', 'Duel']","[82, 12]","['Head pass', 'Ground defending duel']"
304,1631,"[1, 5, 3, 1]","['Duel', 'Interruption', 'Free Kick', 'Duel']","[11, 50, 36, 11]","['Ground attacking duel', 'Ball out of the field', 'Throw in', 'Ground attacking duel']"
305,1631,"[8, 8, 8, 8, 5]","['Pass', 'Pass', 'Pass', 'Pass', 'Interruption']","[85, 85, 83, 85, 50]","['Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Ball out of the field']"
306,1609,"[3, 7, 8]","['Free Kick', 'Others on the ball', 'Pass']","[34, 72, 85]","['Goal kick', 'Touch', 'Simple pass']"
307,1609,"[8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[82, 85, 85, 85, 85, 85]","['Head pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
308,1609,"[7, 7]","['Others on the ball', 'Others on the ball']","[72, 72]","['Touch', 'Touch']"
309,1609,"[1, 8, 8, 8, 1]","['Duel', 'Pass', 'Pass', 'Pass', 'Duel']","[12, 85, 85, 85, 11]","['Ground defending duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Ground attacking duel']"
310,1609,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
311,1609,"[8, 10]","['Pass', 'Shot']","[85, 100]","['Simple pass', 'Shot']"
312,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 34, 13]","['Ball out of the field', 'Goal kick', 'Ground loose ball duel']"
313,1609,"[7, 1]","['Others on the ball', 'Duel']","[70, 11]","['Acceleration', 'Ground attacking duel']"
314,1631,"[1, 5]","['Duel', 'Interruption']","[12, 50]","['Ground defending duel', 'Ball out of the field']"
315,1609,"[3, 8]","['Free Kick', 'Pass']","[36, 85]","['Throw in', 'Simple pass']"
316,1631,"[8, 7]","['Pass', 'Others on the ball']","[85, 72]","['Simple pass', 'Touch']"
317,1631,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
318,1609,"[3, 8, 8]","['Free Kick', 'Pass', 'Pass']","[34, 83, 80]","['Goal kick', 'High pass', 'Cross']"
319,1631,"[7, 7]","['Others on the ball', 'Others on the ball']","[72, 71]","['Touch', 'Clearance']"
320,1609,"[8, 8]","['Pass', 'Pass']","[85, 80]","['Simple pass', 'Cross']"
321,1631,"[7, 7]","['Others on the ball', 'Others on the ball']","[71, 71]","['Clearance', 'Clearance']"
322,1609,"[8, 8]","['Pass', 'Pass']","[85, 85]","['Simple pass', 'Simple pass']"
323,1609,"[1, 8, 8, 8, 8, 8, 8, 10]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Shot']","[11, 85, 85, 85, 85, 85, 85, 100]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Shot']"
324,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
325,1609,"[1, 10]","['Duel', 'Shot']","[10, 100]","['Air duel', 'Shot']"
326,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 34, 13]","['Ball out of the field', 'Goal kick', 'Ground loose ball duel']"
327,1609,"[1, 8, 8]","['Duel', 'Pass', 'Pass']","[13, 83, 80]","['Ground loose ball duel', 'High pass', 'Cross']"
328,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
329,1609,"[8, 10, 200]","['Pass', 'Shot', 'Goal']","[85, 100, 200]","['Simple pass', 'Shot', 'Goal']"
330,1609,"[1, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass']","[11, 85, 85, 85]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass']"
331,1609,"[1, 8, 8]","['Duel', 'Pass', 'Pass']","[11, 85, 80]","['Ground attacking duel', 'Simple pass', 'Cross']"
332,1631,"[7, 1]","['Others on the ball', 'Duel']","[71, 10]","['Clearance', 'Air duel']"
333,1609,"[1, 8]","['Duel', 'Pass']","[10, 85]","['Air duel', 'Simple pass']"
334,1609,"[8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 80]","['Simple pass', 'Simple pass', 'Simple pass', 'Cross']"
335,1631,"[8, 8]","['Pass', 'Pass']","[82, 83]","['Head pass', 'High pass']"
336,1609,"[8, 8, 7, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 72, 85, 85, 85, 85, 86, 85]","['Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Smart pass', 'Simple pass']"
337,1609,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
338,1609,"[1, 10, 200]","['Duel', 'Shot', 'Goal']","[10, 100, 200]","['Air duel', 'Shot', 'Goal']"
339,1631,"[8, 8, 7, 8, 8, 8, 8]","['Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 72, 85, 85, 85, 85]","['Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
340,1631,"[5, 3]","['Interruption', 'Free Kick']","[50, 36]","['Ball out of the field', 'Throw in']"
341,1609,"[1, 7]","['Duel', 'Others on the ball']","[13, 70]","['Ground loose ball duel', 'Acceleration']"
342,1609,"[1, 8]","['Duel', 'Pass']","[11, 85]","['Ground attacking duel', 'Simple pass']"
343,1609,"[3, 8, 8, 8, 7, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass']","[31, 85, 85, 85, 72, 83]","['Free Kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'High pass']"
344,1609,"[1, 1]","['Duel', 'Duel']","[11, 10]","['Ground attacking duel', 'Air duel']"
345,1609,"[8, 8, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 83, 85, 85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
346,1631,"[7, 5, 3, 8, 1]","['Others on the ball', 'Interruption', 'Free Kick', 'Pass', 'Duel']","[72, 50, 36, 84, 13]","['Touch', 'Ball out of the field', 'Throw in', 'Launch', 'Ground loose ball duel']"
347,1609,"[1, 8, 7]","['Duel', 'Pass', 'Others on the ball']","[13, 82, 72]","['Ground loose ball duel', 'Head pass', 'Touch']"
348,1631,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
349,1609,"[1, 2]","['Duel', 'Foul']","[12, 20]","['Ground defending duel', 'Foul']"
350,1631,"[1, 1]","['Duel', 'Duel']","[10, 10]","['Air duel', 'Air duel']"
351,1609,"[1, 7]","['Duel', 'Others on the ball']","[10, 71]","['Air duel', 'Clearance']"
352,1631,"[8, 8]","['Pass', 'Pass']","[85, 83]","['Simple pass', 'High pass']"
353,1631,"[5, 3]","['Interruption', 'Free Kick']","[50, 36]","['Ball out of the field', 'Throw in']"
354,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
355,1609,"[3, 8]","['Free Kick', 'Pass']","[36, 83]","['Throw in', 'High pass']"
356,1609,"[1, 2]","['Duel', 'Foul']","[10, 20]","['Air duel', 'Foul']"
357,1631,"[3, 1]","['Free Kick', 'Duel']","[32, 10]","['Free kick cross', 'Air duel']"
358,1609,"[1, 8]","['Duel', 'Pass']","[13, 84]","['Ground loose ball duel', 'Launch']"
359,1631,"[8, 8]","['Pass', 'Pass']","[82, 82]","['Head pass', 'Head pass']"
360,1609,"[8, 8, 8, 8, 7, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass']","[85, 85, 85, 85, 72, 83]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'High pass']"
361,1609,"[1, 8, 8, 6]","['Duel', 'Pass', 'Pass', 'Offside']","[11, 85, 85, 6]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Offside']"
362,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 10]","['Free Kick', 'Air duel']"
363,1609,"[1, 8]","['Duel', 'Pass']","[10, 84]","['Air duel', 'Launch']"
364,1631,"[7, 5]","['Others on the ball', 'Interruption']","[71, 50]","['Clearance', 'Ball out of the field']"
365,1609,"[1, 8]","['Duel', 'Pass']","[10, 83]","['Air duel', 'High pass']"
366,1631,"[8, 7, 8]","['Pass', 'Others on the ball', 'Pass']","[85, 72, 83]","['Simple pass', 'Touch', 'High pass']"
367,1631,"[8, 8]","['Pass', 'Pass']","[85, 83]","['Simple pass', 'High pass']"
368,1631,"[8, 8]","['Pass', 'Pass']","[85, 86]","['Simple pass', 'Smart pass']"
369,1609,"[7, 8, 7]","['Others on the ball', 'Pass', 'Others on the ball']","[72, 83, 72]","['Touch', 'High pass', 'Touch']"
370,1631,"[8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass']","[85, 83, 82, 85]","['Simple pass', 'High pass', 'Head pass', 'Simple pass']"
371,1609,"[8, 6]","['Pass', 'Offside']","[85, 6]","['Simple pass', 'Offside']"
372,1631,"[3, 1]","['Free Kick', 'Duel']","[31, 13]","['Free Kick', 'Ground loose ball duel']"
373,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
374,1609,"[3, 1]","['Free Kick', 'Duel']","[36, 13]","['Throw in', 'Ground loose ball duel']"
375,1631,"[1, 2]","['Duel', 'Foul']","[13, 20]","['Ground loose ball duel', 'Foul']"
376,1631,"[8, 8]","['Pass', 'Pass']","[82, 85]","['Head pass', 'Simple pass']"
377,1631,"[8, 8]","['Pass', 'Pass']","[85, 84]","['Simple pass', 'Launch']"
378,1609,"[8, 10]","['Pass', 'Shot']","[82, 100]","['Head pass', 'Shot']"
