SID,Team,Events,Event Names,Sub Events,Sub Event Names
108,1609,"[8, 8, 7, 8, 8, 8, 8]","['Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 72, 85, 85, 85, 85]","['Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
109,1609,"[1, 8]","['Duel', 'Pass']","[11, 80]","['Ground attacking duel', 'Cross']"
110,1631,"[8, 7, 5]","['Pass', 'Others on the ball', 'Interruption']","[82, 71, 50]","['Head pass', 'Clearance', 'Ball out of the field']"
111,1631,"[1, 5]","['Duel', 'Interruption']","[13, 50]","['Ground loose ball duel', 'Ball out of the field']"
112,1609,"[3, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass']","[36, 85, 85, 85]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass']"
113,1609,"[8, 8, 8, 8, 8, 1]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Duel']","[85, 85, 85, 85, 85, 11]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Ground attacking duel']"
114,1631,"[1, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[12, 85, 85, 85, 85, 83, 85, 85, 85, 83]","['Ground defending duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass']"
115,1631,"[8, 8, 5]","['Pass', 'Pass', 'Interruption']","[85, 80, 50]","['Simple pass', 'Cross', 'Ball out of the field']"
116,1631,"[1, 1]","['Duel', 'Duel']","[12, 13]","['Ground defending duel', 'Ground loose ball duel']"
117,1609,"[1, 1]","['Duel', 'Duel']","[13, 11]","['Ground loose ball duel', 'Ground attacking duel']"
